movie_id,votes_kp,votes_imdb,votes_filmCritics,votes_await,rating_kp,rating_imdb,rating_filmCritics,movieLength,ageRating,ratingMpaa,type,fees_usa,videos_trailers_number,budget_in_usd,actor_metric_2019,writer_metric_2019,director_metric_2019,fees_usa_log,movie_age,genres_biografija,genres_boevik,genres_voennyj,genres_detektiv,genres_dokumentalnyj,genres_drama,genres_istorija,genres_komedija,genres_kriminal,genres_melodrama,genres_muzyka,genres_multfilm,genres_mjuzikl,genres_prikljuchenija,genres_semejnyj,genres_sport,genres_triller,genres_uzhasy,genres_fantastika,genres_fentezi,countries_Avstralija,countries_Belgija,countries_Velikobritanija,countries_Germanija,countries_Gonkong,countries_Indija,countries_Ispanija,countries_Italija,countries_Kanada,countries_Kitaj,countries_Koreja_Juzhnaja,countries_SShA,countries_Frantsija,countries_Japonija,Spetseffekty_4Ward_Productions,Spetseffekty_Asylum_VFX,Spetseffekty_Cinesite,Spetseffekty_Custom_Film_Effects,Spetseffekty_Digiscope,Spetseffekty_Digital_Domain,Spetseffekty_Double_Negative,Spetseffekty_Gentle_Giant_Studios_Inc,Spetseffekty_Industrial_Light__Magic_ILM,Spetseffekty_KNB_EFX_Group_Inc,Spetseffekty_Lidar_Services_Inc,Spetseffekty_Lola_Visual_Effects,Spetseffekty_Method_Studios,Spetseffekty_Moving_Picture_Company_The,Spetseffekty_Mr_X_Inc,Spetseffekty_Pacific_Title,Spetseffekty_Pacific_Title__Art_Studio,Spetseffekty_Plowman_Craven__Associates,Spetseffekty_Proof,Spetseffekty_Rhythm__Hues,Spetseffekty_Rodeo_FX,Spetseffekty_Sony_Pictures_Imageworks,Spetseffekty_Third_Floor_The,Proizvodstvo_20th_Century_Fox_Film_Corporation,Proizvodstvo_AMT,Proizvodstvo_Canalfr,Proizvodstvo_Centre_National_de_la_Cinmatographie_CNC,Proizvodstvo_Cin,Proizvodstvo_Columbia_Pictures_Corporation,Proizvodstvo_MetroGoldwynMayer_MGM,Proizvodstvo_Millennium_Films,Proizvodstvo_NBC_Universal_Television,Proizvodstvo_New_Line_Cinema,Proizvodstvo_Paramount_Pictures,Proizvodstvo_Relativity_Media,Proizvodstvo_Silver_Pictures,Proizvodstvo_Studio_Canal,Proizvodstvo_Universal_Pictures,Proizvodstvo_Village_Roadshow_Pictures,Proizvodstvo_Warner_Bros_Pictures
535341,1678838.0,895482.0,130.0,15.0,8.813,8.5,6.8,112.0,18.0,r,movie,10198820,2.0,13205000.0,723221.6803434264,,,16.137782683338372,8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143242,1524128.0,372380.0,277.0,13642.0,8.562,7.8,6.5,113.0,18.0,r,movie,36471795,4.0,22000000.0,54316529.527000345,4855018.642111761,8612017.558112923,17.4120498075279,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462682,1125382.0,1471424.0,289.0,43024.0,7.976,8.2,7.8,180.0,18.0,r,movie,116900694,3.0,100000000.0,45848332.328754,64723.56533486162,11145655.616938684,18.576835371676978,6,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251733,1014540.0,1359191.0,335.0,38689.0,7.972,7.9,7.4,162.0,12.0,pg13,movie,785221649,3.0,237000000.0,7190519.093615404,2272067.9548584903,2347136.450462052,20.481476592579433,10,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1188529,953836.0,742208.0,474.0,9141.0,8.102,7.9,8.3,130.0,18.0,pg13,movie,165363234,4.0,40000000.0,83076270.64905295,6140030.84580811,6140030.84580811,18.9236550365233,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447301,937915.0,2461331.0,367.0,42545.0,8.663,8.8,8.1,148.0,12.0,pg13,movie,292576195,3.0,160000000.0,29859026.36187281,13133604.01235552,16677283.440737462,19.494235689857472,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
775276,915543.0,518966.0,298.0,18811.0,8.315,8.0,8.1,108.0,6.0,pg,cartoon,341268248,3.0,150000000.0,30779175.60065089,1310473.731561049,2700996.675473425,19.64817937995668,3,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374,886976.0,1158059.0,220.0,,8.373,8.1,7.1,143.0,12.0,pg13,movie,305413918,2.0,140000000.0,4386378.644416028,2259236.586085203,622637.4358115657,19.537178526003625,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,886716.0,813108.0,200.0,,8.264,7.6,7.1,152.0,12.0,pg,movie,317575550,5.0,125000000.0,2466557.0709071425,70524.71499075225,779923.015750971,19.576226303895517,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1108577,884795.0,536517.0,364.0,6866.0,8.431,8.2,7.2,130.0,18.0,pg13,movie,85080171,2.0,23000000.0,19729270.360187605,1550549.42652332,1126597.6968461603,18.25910456992097,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258687,879269.0,1925493.0,375.0,78051.0,8.622,8.7,7.1,169.0,16.0,pg13,movie,188020017,9.0,165000000.0,65837065.44562117,47787673.27930452,32776733.01660954,19.05205899384917,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
463634,826787.0,519358.0,364.0,59979.0,6.921,6.6,4.5,112.0,18.0,pg13,movie,213515506,4.0,100000000.0,68355791.36466585,6747962.474929095,2761890.800171124,19.179220020313856,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
397667,819569.0,1368017.0,263.0,22948.0,8.515,8.2,6.7,138.0,18.0,r,movie,128012934,2.0,80000000.0,23433847.2707888,727282.7320306009,5865065.277602527,18.66764187146571,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
843649,810296.0,1157562.0,491.0,77949.0,8.069,8.4,7.6,149.0,16.0,pg13,movie,678815482,3.0,321000000.0,196441112.09296572,52008299.77710154,8971034.820432372,20.33585990043369,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843650,764146.0,1216754.0,555.0,96308.0,7.85,8.4,8.2,181.0,16.0,pg13,movie,858373000,5.0,356000000.0,241817534.6186732,78051412.00458948,17769240.27532332,20.570549296083414,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689066,705267.0,1225685.0,338.0,46215.0,7.846,8.0,7.8,121.0,12.0,pg13,movie,333176600,5.0,170000000.0,40417315.80283797,809815.1914350389,440331.4579854565,19.62418324070103,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462606,697296.0,591071.0,202.0,19262.0,7.991,7.4,6.4,105.0,18.0,pg13,movie,79249455,1.0,26000000.0,12609884.057950294,989162.332880856,734380.0679273967,18.188111106344792,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
